index,discipline,Continental,ISIC,Super100,Super300,Super500,Super750,WTFSuper1000
CAN,XD,0.0,1.0,0.0,0.0,0.0,0.0,0.0
CHE,XD,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CHL,XD,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CHN,XD,1.0,0.0,1.0,2.0,3.0,5.0,3.0
CYP,XD,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CZE,XD,0.0,1.0,0.0,0.0,0.0,0.0,0.0
DEU,XD,0.0,3.0,0.0,1.0,0.0,0.0,0.0
DNK,XD,0.0,1.0,1.0,1.0,1.0,0.0,0.0
DZA,XD,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ECU,XD,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EGY,XD,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ESP,XD,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EST,XD,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ETH,XD,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FIN,XD,0.0,0.0,0.0,0.0,0.0,0.0,0.0
